entity_id,score,label_value,race,sex,age_cat
3067,1.0,1,African-American,Male,25 - 45
10339,1.0,1,African-American,Male,Less than 25
3086,1.0,1,Hispanic,Male,25 - 45
3094,1.0,1,African-American,Male,25 - 45
7812,1.0,1,African-American,Male,25 - 45
2404,1.0,0,African-American,Male,25 - 45
2385,1.0,1,African-American,Female,Less than 25
601,1.0,1,Caucasian,Male,Greater than 45
7774,1.0,1,Caucasian,Female,25 - 45
3398,1.0,1,African-American,Male,Less than 25
3399,1.0,0,African-American,Male,25 - 45
7760,1.0,1,African-American,Female,Less than 25
8776,1.0,1,Caucasian,Male,25 - 45
3425,1.0,1,Hispanic,Male,Less than 25
3426,1.0,1,African-American,Male,25 - 45
3434,1.0,1,African-American,Male,25 - 45
7700,1.0,1,African-American,Male,25 - 45
3468,1.0,1,African-American,Male,25 - 45
3479,1.0,1,African-American,Female,Less than 25
2350,1.0,1,African-American,Male,25 - 45
3499,1.0,1,African-American,Female,25 - 45
10436,1.0,0,African-American,Female,Less than 25
3501,1.0,1,African-American,Male,Less than 25
891,1.0,1,African-American,Male,Less than 25
7622,1.0,1,African-American,Male,Less than 25
3521,1.0,1,African-American,Male,Less than 25
3533,1.0,1,Caucasian,Male,25 - 45
8707,1.0,0,African-American,Male,25 - 45
3331,1.0,1,African-American,Male,25 - 45
10393,1.0,1,African-American,Female,25 - 45
10364,1.0,1,Other,Male,Less than 25
669,1.0,1,African-American,Male,Less than 25
8046,1.0,1,African-American,Male,25 - 45
3116,1.0,1,African-American,Male,Less than 25
8597,1.0,0,African-American,Male,25 - 45
2536,1.0,0,African-American,Male,Greater than 45
659,1.0,1,Caucasian,Male,Less than 25
657,1.0,1,African-American,Female,Less than 25
8028,1.0,1,Caucasian,Female,Less than 25
2515,1.0,0,African-American,Male,25 - 45
3168,1.0,1,African-American,Male,25 - 45
2513,1.0,1,African-American,Male,Less than 25
3326,1.0,0,African-American,Male,25 - 45
7975,1.0,1,Caucasian,Male,Less than 25
643,1.0,0,African-American,Male,25 - 45
7966,1.0,1,African-American,Male,25 - 45
3236,1.0,1,African-American,Male,25 - 45
3238,1.0,1,African-American,Male,25 - 45
3259,1.0,1,Native American,Female,Greater than 45
3270,1.0,1,African-American,Male,Less than 25
3272,1.0,1,African-American,Male,25 - 45
3278,1.0,1,African-American,Male,25 - 45
2427,1.0,1,African-American,Male,25 - 45
1830,1.0,1,African-American,Male,Less than 25
9157,1.0,1,African-American,Male,25 - 45
1541,1.0,0,African-American,Male,25 - 45
6095,1.0,1,African-American,Male,25 - 45
5058,1.0,1,African-American,Male,Less than 25
5069,1.0,1,African-American,Male,Less than 25
10869,1.0,1,African-American,Male,Greater than 45
1110,1.0,1,African-American,Female,25 - 45
5075,1.0,1,African-American,Male,25 - 45
5083,1.0,1,Hispanic,Male,Less than 25
9620,1.0,1,Caucasian,Male,Less than 25
10881,1.0,1,Hispanic,Male,25 - 45
9933,1.0,1,African-American,Male,25 - 45
5107,1.0,1,African-American,Male,25 - 45
9628,1.0,1,African-American,Female,Less than 25
9926,1.0,1,Caucasian,Male,25 - 45
9636,1.0,1,African-American,Male,25 - 45
6159,1.0,0,African-American,Male,25 - 45
6140,1.0,0,African-American,Male,25 - 45
128,1.0,1,African-American,Male,25 - 45
6139,1.0,0,African-American,Female,25 - 45
122,1.0,1,African-American,Male,25 - 45
5152,1.0,1,African-American,Male,25 - 45
5154,1.0,1,African-American,Male,25 - 45
5155,1.0,1,African-American,Male,25 - 45
6119,1.0,0,African-American,Female,25 - 45
9658,1.0,0,African-American,Male,25 - 45
5168,1.0,1,African-American,Male,Less than 25
6099,1.0,1,African-American,Male,25 - 45
1499,1.0,1,African-American,Male,25 - 45
6210,1.0,1,African-American,Male,Less than 25
5045,1.0,0,Caucasian,Female,25 - 45
9973,1.0,1,African-American,Male,Less than 25
6373,1.0,1,African-American,Male,25 - 45
1632,1.0,1,African-American,Male,25 - 45
1625,1.0,1,African-American,Male,Less than 25
10819,1.0,1,Asian,Male,Less than 25
6368,1.0,1,African-American,Male,25 - 45
9524,1.0,0,Caucasian,Male,25 - 45
1595,1.0,1,African-American,Male,Greater than 45
6347,1.0,1,African-American,Male,Less than 25
4935,1.0,0,African-American,Male,25 - 45
190,1.0,1,African-American,Male,25 - 45
4940,1.0,1,African-American,Male,25 - 45
6320,1.0,1,African-American,Male,25 - 45
9935,1.0,1,African-American,Male,Less than 25
183,1.0,1,Caucasian,Male,25 - 45
1588,1.0,1,African-American,Male,25 - 45
1092,1.0,0,Hispanic,Male,Less than 25
9535,1.0,0,Hispanic,Male,Less than 25
9539,1.0,0,Caucasian,Male,25 - 45
6274,1.0,1,Hispanic,Male,25 - 45
6264,1.0,0,African-American,Female,25 - 45
1549,1.0,1,African-American,Male,Less than 25
1543,1.0,1,African-American,Male,25 - 45
9322,1.0,1,African-American,Male,Less than 25
9596,1.0,1,African-American,Male,25 - 45
1429,1.0,1,African-American,Male,25 - 45
6094,1.0,1,Caucasian,Male,25 - 45
6412,1.0,0,Other,Male,Less than 25
1131,1.0,1,African-American,Male,Less than 25
5426,1.0,0,Caucasian,Male,25 - 45
5429,1.0,1,African-American,Male,25 - 45
9908,1.0,1,African-American,Male,Less than 25
40,1.0,1,African-American,Male,25 - 45
5438,1.0,1,African-American,Male,Less than 25
5445,1.0,1,African-American,Male,25 - 45
5447,1.0,1,African-American,Male,25 - 45
9782,1.0,0,African-American,Male,25 - 45
9786,1.0,1,African-American,Male,25 - 45
5465,1.0,1,African-American,Female,Less than 25
1256,1.0,1,African-American,Male,Greater than 45
22,1.0,0,African-American,Male,25 - 45
5730,1.0,1,African-American,Female,25 - 45
1240,1.0,0,African-American,Male,25 - 45
9826,1.0,1,African-American,Male,25 - 45
1222,1.0,1,African-American,Male,25 - 45
5550,1.0,1,African-American,Male,Less than 25
9852,1.0,1,African-American,Male,Less than 25
9892,1.0,1,African-American,Male,25 - 45
10985,1.0,1,African-American,Male,25 - 45
5568,1.0,0,African-American,Male,Greater than 45
10990,1.0,1,Caucasian,Male,Less than 25
5578,1.0,1,African-American,Male,Less than 25
5594,1.0,1,Caucasian,Male,Less than 25
9868,1.0,0,African-American,Male,25 - 45
5842,1.0,1,African-American,Male,25 - 45
5403,1.0,1,African-American,Male,25 - 45
5402,1.0,1,African-American,Female,Less than 25
5977,1.0,1,African-American,Male,Less than 25
10903,1.0,1,African-American,Male,Less than 25
5226,1.0,0,African-American,Male,25 - 45
5236,1.0,0,African-American,Male,25 - 45
95,1.0,1,African-American,Male,Less than 25
10909,1.0,1,Caucasian,Male,25 - 45
1403,1.0,1,African-American,Male,Less than 25
90,1.0,1,African-American,Male,25 - 45
1396,1.0,1,African-American,Male,25 - 45
5263,1.0,1,African-American,Male,Less than 25
5275,1.0,0,African-American,Male,25 - 45
6001,1.0,1,African-American,Male,25 - 45
5967,1.0,1,African-American,Female,25 - 45
9749,1.0,1,Caucasian,Male,Greater than 45
9714,1.0,1,African-American,Male,Less than 25
1352,1.0,1,Caucasian,Male,25 - 45
9741,1.0,1,African-American,Male,Less than 25
1341,1.0,1,Native American,Male,25 - 45
5349,1.0,1,Caucasian,Male,Less than 25
66,1.0,1,Caucasian,Male,25 - 45
5350,1.0,1,Caucasian,Female,25 - 45
9743,1.0,0,African-American,Male,25 - 45
1150,1.0,1,African-American,Female,Greater than 45
1331,1.0,1,African-American,Male,Less than 25
1152,1.0,0,Other,Female,Less than 25
4893,1.0,0,African-American,Male,25 - 45
8410,1.0,1,African-American,Male,25 - 45
1660,1.0,1,African-American,Male,25 - 45
4640,1.0,1,African-American,Male,25 - 45
6669,1.0,0,African-American,Male,25 - 45
4592,1.0,1,African-American,Male,Less than 25
4608,1.0,1,African-American,Male,Less than 25
9352,1.0,0,Caucasian,Male,Less than 25
9365,1.0,1,Native American,Male,Greater than 45
6641,1.0,1,African-American,Male,Less than 25
4631,1.0,1,African-American,Male,25 - 45
262,1.0,0,Caucasian,Female,25 - 45
4580,1.0,1,African-American,Male,25 - 45
10753,1.0,1,African-American,Male,Less than 25
1054,1.0,0,African-American,Male,Less than 25
4643,1.0,1,African-American,Male,25 - 45
1714,1.0,0,Caucasian,Male,25 - 45
10764,1.0,1,African-American,Male,Less than 25
4681,1.0,1,African-American,Male,Less than 25
4684,1.0,1,Caucasian,Male,25 - 45
1765,1.0,0,African-American,Male,Less than 25
6672,1.0,1,African-American,Male,Less than 25
10006,1.0,1,Caucasian,Male,Less than 25
4501,1.0,1,African-American,Female,Less than 25
1816,1.0,1,Caucasian,Female,25 - 45
10674,1.0,0,African-American,Male,25 - 45
6749,1.0,0,Caucasian,Female,Less than 25
306,1.0,1,African-American,Male,25 - 45
1034,1.0,1,African-American,Male,Less than 25
6744,1.0,1,African-American,Male,25 - 45
1788,1.0,1,Hispanic,Male,Less than 25
9341,1.0,1,Hispanic,Male,Less than 25
10707,1.0,1,Caucasian,Male,25 - 45
4506,1.0,0,African-American,Male,25 - 45
6706,1.0,1,African-American,Male,25 - 45
10699,1.0,1,African-American,Male,Greater than 45
10700,1.0,1,African-American,Male,25 - 45
6690,1.0,1,African-American,Male,25 - 45
286,1.0,1,African-American,Male,25 - 45
4554,1.0,0,African-American,Male,25 - 45
4701,1.0,0,Caucasian,Male,25 - 45
4598,1.0,0,African-American,Male,25 - 45
6504,1.0,1,African-American,Male,25 - 45
4800,1.0,1,African-American,Female,25 - 45
9405,1.0,1,African-American,Female,25 - 45
238,1.0,1,African-American,Female,25 - 45
220,1.0,0,African-American,Female,Less than 25
1691,1.0,0,Caucasian,Male,25 - 45
4725,1.0,0,African-American,Female,Greater than 45
4835,1.0,0,African-American,Male,25 - 45
6453,1.0,1,African-American,Male,25 - 45
4821,1.0,1,African-American,Male,Less than 25
1669,1.0,1,Caucasian,Female,25 - 45
4772,1.0,0,African-American,Male,Less than 25
6428,1.0,1,Caucasian,Female,25 - 45
9402,1.0,1,African-American,Male,25 - 45
2568,0.9,1,African-American,Male,Greater than 45
8526,0.9,0,African-American,Female,25 - 45
1298,0.9,0,African-American,Male,Less than 25
2606,0.9,0,African-American,Male,25 - 45
8882,0.9,1,African-American,Male,Less than 25
1786,0.9,0,African-American,Male,25 - 45
1882,0.9,1,African-American,Male,Less than 25
9506,0.9,1,African-American,Male,Less than 25
9161,0.9,0,Caucasian,Female,Greater than 45
9165,0.9,0,African-American,Male,25 - 45
1313,0.9,1,African-American,Male,25 - 45
2240,0.9,1,African-American,Male,25 - 45
9208,0.9,1,African-American,Male,25 - 45
9740,0.9,1,African-American,Male,Less than 25
9191,0.9,1,African-American,Male,Greater than 45
1668,0.9,0,African-American,Male,25 - 45
8548,0.9,1,African-American,Male,25 - 45
9186,0.9,0,African-American,Male,25 - 45
1326,0.9,0,African-American,Male,Less than 25
1879,0.9,0,African-American,Male,Less than 25
1776,0.9,1,African-American,Male,Less than 25
1928,0.9,0,Hispanic,Male,Less than 25
9531,0.9,1,Hispanic,Male,25 - 45
9343,0.9,0,African-American,Male,25 - 45
8559,0.9,1,African-American,Male,25 - 45
2248,0.9,0,African-American,Female,Less than 25
2566,0.9,0,African-American,Male,25 - 45
9781,0.9,1,Caucasian,Male,Less than 25
8991,0.9,1,African-American,Male,25 - 45
8522,0.9,1,Hispanic,Male,25 - 45
2231,0.9,1,African-American,Male,Less than 25
1846,0.9,0,African-American,Male,Less than 25
9327,0.9,1,African-American,Male,Less than 25
8486,0.9,1,African-American,Female,Greater than 45
8482,0.9,0,African-American,Male,Greater than 45
9325,0.9,1,Hispanic,Male,Greater than 45
9323,0.9,1,Caucasian,Male,Less than 25
2642,0.9,0,Hispanic,Male,Less than 25
9296,0.9,1,African-American,Female,25 - 45
8935,0.9,0,African-American,Male,Less than 25
8447,0.9,1,Other,Male,25 - 45
9856,0.9,0,African-American,Male,25 - 45
9303,0.9,0,African-American,Male,25 - 45
2672,0.9,1,African-American,Male,25 - 45
9857,0.9,1,African-American,Male,Less than 25
8432,0.9,1,African-American,Male,25 - 45
9292,0.9,0,African-American,Male,25 - 45
1797,0.9,1,African-American,Female,25 - 45
2633,0.9,1,African-American,Male,Greater than 45
8899,0.9,1,African-American,Female,25 - 45
9160,0.9,0,African-American,Male,25 - 45
9256,0.9,1,Caucasian,Male,25 - 45
9259,0.9,1,Caucasian,Male,25 - 45
8512,0.9,1,African-American,Male,25 - 45
8505,0.9,1,African-American,Male,Less than 25
1283,0.9,1,African-American,Male,Less than 25
1792,0.9,0,Native American,Male,25 - 45
1868,0.9,0,African-American,Male,Less than 25
2618,0.9,1,African-American,Male,25 - 45
9810,0.9,0,African-American,Male,25 - 45
9811,0.9,1,African-American,Female,25 - 45
2620,0.9,1,African-American,Male,25 - 45
2181,0.9,1,African-American,Male,25 - 45
2197,0.9,1,African-American,Male,25 - 45
2560,0.9,1,Caucasian,Male,Less than 25
2697,0.9,0,Hispanic,Male,Greater than 45
1965,0.9,1,African-American,Female,25 - 45
2057,0.9,1,African-American,Male,25 - 45
9367,0.9,1,African-American,Female,25 - 45
8775,0.9,0,African-American,Male,25 - 45
9629,0.9,0,African-American,Female,Less than 25
2063,0.9,0,Hispanic,Male,Less than 25
8756,0.9,1,African-American,Male,Less than 25
9640,0.9,1,African-American,Male,25 - 45
8747,0.9,1,Caucasian,Male,25 - 45
9372,0.9,0,African-American,Male,Less than 25
2376,0.9,1,African-American,Male,25 - 45
2055,0.9,0,African-American,Male,Less than 25
8743,0.9,1,African-American,Male,25 - 45
8724,0.9,1,African-American,Male,25 - 45
9544,0.9,1,Caucasian,Male,25 - 45
8708,0.9,0,African-American,Male,25 - 45
2071,0.9,1,African-American,Male,25 - 45
1484,0.9,1,Caucasian,Male,25 - 45
8580,0.9,0,African-American,Male,25 - 45
1548,0.9,1,African-American,Male,25 - 45
1506,0.9,1,Caucasian,Female,25 - 45
8992,0.9,1,Caucasian,Male,25 - 45
8820,0.9,1,African-American,Male,Less than 25
1709,0.9,1,African-American,Male,25 - 45
2336,0.9,1,African-American,Male,Less than 25
2301,0.9,1,African-American,Male,Less than 25
2113,0.9,1,African-American,Male,Less than 25
9378,0.9,1,Caucasian,Female,25 - 45
2134,0.9,0,African-American,Male,Less than 25
2110,0.9,0,African-American,Male,Less than 25
2349,0.9,0,African-American,Male,Greater than 45
2091,0.9,0,African-American,Male,Greater than 45
1718,0.9,1,African-American,Male,25 - 45
1728,0.9,1,Caucasian,Male,25 - 45
2287,0.9,1,African-American,Male,25 - 45
1702,0.9,1,African-American,Male,25 - 45
9646,0.9,1,African-American,Female,25 - 45
1397,0.9,0,African-American,Male,Greater than 45
9676,0.9,0,African-American,Male,25 - 45
2527,0.9,1,African-American,Male,25 - 45
8601,0.9,1,African-American,Male,Greater than 45
8961,0.9,1,Native American,Male,Less than 25
1991,0.9,1,African-American,Male,25 - 45
9130,0.9,1,African-American,Male,25 - 45
9437,0.9,0,Hispanic,Male,Less than 25
8705,0.9,1,African-American,Female,Less than 25
9147,0.9,1,Other,Male,25 - 45
1395,0.9,1,African-American,Male,Less than 25
9150,0.9,1,Caucasian,Male,Less than 25
2544,0.9,1,Caucasian,Male,25 - 45
2327,0.9,1,African-American,Male,Greater than 45
9709,0.9,0,African-American,Female,Less than 25
2514,0.9,1,African-American,Male,25 - 45
9128,0.9,1,Caucasian,Male,25 - 45
8612,0.9,1,African-American,Male,Less than 25
1759,0.9,1,Caucasian,Male,25 - 45
9441,0.9,1,African-American,Male,25 - 45
2496,0.9,0,Other,Male,Less than 25
2464,0.9,0,African-American,Male,Greater than 45
9413,0.9,1,African-American,Male,25 - 45
1427,0.9,1,African-American,Male,25 - 45
8861,0.9,0,African-American,Male,25 - 45
2277,0.9,1,Caucasian,Male,25 - 45
2442,0.9,1,African-American,Male,Less than 25
9086,0.9,1,African-American,Male,25 - 45
8681,0.9,1,African-American,Male,25 - 45
2428,0.9,0,African-American,Male,25 - 45
1737,0.9,0,African-American,Female,25 - 45
8700,0.9,1,African-American,Male,25 - 45
9307,0.9,1,African-American,Male,Greater than 45
7722,0.9,1,African-American,Female,Less than 25
2722,0.9,0,Hispanic,Male,25 - 45
4504,0.9,1,African-American,Male,Less than 25
6681,0.9,1,African-American,Male,25 - 45
4581,0.9,0,African-American,Male,Greater than 45
4591,0.9,0,Caucasian,Male,25 - 45
4610,0.9,1,African-American,Male,25 - 45
4616,0.9,1,African-American,Male,Less than 25
4628,0.9,0,Caucasian,Male,25 - 45
6608,0.9,1,Caucasian,Male,25 - 45
4652,0.9,1,African-American,Male,Less than 25
6603,0.9,1,African-American,Male,Less than 25
6597,0.9,1,African-American,Male,25 - 45
6587,0.9,1,African-American,Male,Less than 25
6585,0.9,1,African-American,Male,25 - 45
6566,0.9,1,African-American,Male,25 - 45
6541,0.9,1,Caucasian,Male,Less than 25
4707,0.9,1,African-American,Male,Less than 25
6531,0.9,1,African-American,Male,Less than 25
4739,0.9,1,African-American,Male,25 - 45
4764,0.9,0,African-American,Female,Less than 25
6471,0.9,1,Caucasian,Male,Greater than 45
4766,0.9,1,Caucasian,Male,25 - 45
4792,0.9,0,African-American,Female,Less than 25
4812,0.9,0,Caucasian,Female,Less than 25
6439,0.9,1,African-American,Male,25 - 45
6422,0.9,0,African-American,Female,Less than 25
6420,0.9,1,African-American,Male,Less than 25
6371,0.9,1,African-American,Male,25 - 45
4906,0.9,1,African-American,Male,Less than 25
4907,0.9,1,African-American,Male,25 - 45
4911,0.9,0,African-American,Male,Less than 25
6691,0.9,0,Caucasian,Female,25 - 45
6732,0.9,1,Caucasian,Male,Less than 25
4280,0.9,0,Hispanic,Male,25 - 45
4493,0.9,0,African-American,Male,25 - 45
6955,0.9,1,African-American,Male,Less than 25
4297,0.9,1,Caucasian,Male,Less than 25
4299,0.9,0,Caucasian,Female,Greater than 45
4316,0.9,1,African-American,Male,Greater than 45
4320,0.9,0,African-American,Male,25 - 45
4335,0.9,0,African-American,Male,25 - 45
6924,0.9,1,African-American,Male,Less than 25
6910,0.9,1,African-American,Male,25 - 45
4370,0.9,0,African-American,Male,25 - 45
4384,0.9,1,African-American,Male,Less than 25
4387,0.9,1,African-American,Male,25 - 45
4398,0.9,1,African-American,Male,Less than 25
6882,0.9,1,African-American,Male,25 - 45
6850,0.9,1,Caucasian,Male,25 - 45
4422,0.9,0,African-American,Male,25 - 45
4428,0.9,0,African-American,Male,25 - 45
6830,0.9,1,Caucasian,Female,Less than 25
6815,0.9,0,African-American,Male,Less than 25
6811,0.9,1,African-American,Male,Less than 25
4442,0.9,0,Caucasian,Male,Less than 25
6810,0.9,1,African-American,Male,Less than 25
6807,0.9,1,African-American,Male,25 - 45
4452,0.9,1,African-American,Male,25 - 45
4453,0.9,1,African-American,Male,25 - 45
6783,0.9,1,African-American,Female,Greater than 45
6775,0.9,1,African-American,Male,25 - 45
6759,0.9,1,African-American,Male,25 - 45
4480,0.9,1,Caucasian,Male,25 - 45
6747,0.9,1,African-American,Male,Less than 25
6365,0.9,1,African-American,Male,Greater than 45
6336,0.9,1,African-American,Male,25 - 45
4943,0.9,1,African-American,Male,Greater than 45
6319,0.9,1,African-American,Male,Less than 25
5957,0.9,1,Other,Male,25 - 45
5952,0.9,0,African-American,Male,25 - 45
5916,0.9,1,African-American,Male,25 - 45
5915,0.9,1,Caucasian,Male,Less than 25
5907,0.9,0,African-American,Male,25 - 45
5354,0.9,1,African-American,Male,Less than 25
5366,0.9,1,Caucasian,Male,Greater than 45
5877,0.9,0,African-American,Male,25 - 45
5383,0.9,1,African-American,Female,Less than 25
5390,0.9,1,African-American,Male,Less than 25
5856,0.9,1,African-American,Male,25 - 45
5425,0.9,1,African-American,Female,25 - 45
5825,0.9,1,African-American,Male,Less than 25
5442,0.9,1,African-American,Male,25 - 45
5443,0.9,0,African-American,Male,25 - 45
5453,0.9,1,African-American,Female,Less than 25
5456,0.9,1,African-American,Male,25 - 45
5460,0.9,1,African-American,Male,25 - 45
5479,0.9,0,African-American,Male,Less than 25
5492,0.9,0,Caucasian,Male,25 - 45
5765,0.9,0,African-American,Male,Greater than 45
5711,0.9,1,Caucasian,Male,Greater than 45
5531,0.9,1,Caucasian,Male,Less than 25
5536,0.9,0,African-American,Male,Greater than 45
5552,0.9,1,African-American,Male,Greater than 45
5678,0.9,1,African-American,Male,25 - 45
5579,0.9,0,African-American,Male,25 - 45
5657,0.9,1,African-American,Male,25 - 45
5620,0.9,1,African-American,Male,25 - 45
5282,0.9,1,Caucasian,Male,25 - 45
5274,0.9,1,African-American,Male,Less than 25
6027,0.9,1,African-American,Male,25 - 45
5098,0.9,1,African-American,Male,25 - 45
4955,0.9,1,African-American,Male,Less than 25
